index,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
71,590.73826351,102498.01389817,102481.58970099,102443.77187835,0.47219716,12.3312886,1
72,190.78294875,102316.65359623,102314.9656666,102308.06565883,0.49115261,12.75195401,0
73,0.00099999,102377.47123934,102377.47131839,102365.04409324,0.57904965,8.94748537,0
74,0.00099999,102218.62003968,102218.62004641,102204.23772976,0.50672923,12.13057025,1
75,0.00099999,102332.73428226,102332.73427455,102319.9305286,0.49229594,9.87369471,0
76,947.9017606,102248.19689503,102123.96401064,102191.48271733,0.36893907,12.6637538,1
77,837.03782433,101791.63436839,101806.21375064,101620.84626664,0.51741782,9.67862933,0
78,915.74565375,101755.13934838,101769.352957,101777.38125171,0.51552134,12.13090106,0
79,814.01563558,101353.95629177,101531.177298,101329.54631877,0.71771204,10.02122255,0
80,31.5613492,101235.1433126,101238.78123989,101222.62936332,0.61526526,8.85745289,0
81,1198.19885169,101223.76893165,101259.0505253,101113.38359708,0.52944552,9.77129195,0
82,2365.88677501,100904.4491015,100788.95976297,100760.11524643,0.4511856,15.35736544,0
83,2423.79517664,100895.72124128,100525.25653018,100838.17458459,0.3471551,13.02437259,0
84,2165.92090667,101086.76790552,101354.27036022,101106.92313189,0.62350518,10.29848061,0
85,1779.24763079,100978.56342802,100988.44097445,100607.36002595,0.50555152,10.91370265,1
86,1796.51779326,101446.09906955,101506.29019041,101204.94523585,0.53350432,9.86782532,0
87,726.32103816,101128.8585911,101187.06120385,101111.93682403,0.58013345,8.63255423,1
88,1622.49583701,100789.98861732,100682.82898119,100575.75201859,0.43395382,9.86921938,0
89,1327.99572679,100614.67583256,100574.28900704,100430.01860389,0.46958813,8.2726705,0
90,1514.36770052,100519.05735437,100544.83436512,100569.66447765,0.51702163,11.24601244,0
91,1826.63141957,100898.67818071,100910.9900313,100951.89192162,0.50674019,13.08073519,0
92,1871.93858796,100415.57813607,100693.91488303,100471.67795468,0.64868903,12.99300789,1
93,1260.45196823,100466.09272393,100447.73605007,100462.40416736,0.48543643,13.85244362,0
94,941.16397023,100778.41536269,100810.2900983,100732.46120489,0.53386735,14.92923878,1
95,851.35058246,100910.57809286,100929.27694166,100792.26578503,0.52196374,9.39175874,1
96,1206.31474292,100933.81204483,101036.2870367,100903.00226385,0.5849488,10.39754914,1
97,721.12859776,101071.27549196,100959.34414138,101062.67430036,0.34478309,11.30625671,1
98,320.43766087,101178.68341158,101171.41459042,101115.5079619,0.47731595,10.38406263,1
